"","year","state","month","number","date"
"327",2004,"Alagoas","May",3,2004-01-01
"328",2005,"Alagoas","May",0,2005-01-01
"329",2006,"Alagoas","May",0,2006-01-01
"330",2007,"Alagoas","May",0,2007-01-01
"331",2008,"Alagoas","May",0,2008-01-01
"332",2009,"Alagoas","May",0,2009-01-01
"333",2010,"Alagoas","May",0,2010-01-01
"334",2011,"Alagoas","May",0,2011-01-01
"335",2012,"Alagoas","May",21,2012-01-01
"336",2013,"Alagoas","May",2,2013-01-01
"337",2014,"Alagoas","May",1,2014-01-01
"338",2015,"Alagoas","May",18,2015-01-01
"339",2016,"Alagoas","May",4,2016-01-01
"340",2017,"Alagoas","May",1,2017-01-01
"341",1998,"Alagoas","June",0,1998-01-01
"342",1999,"Alagoas","June",0,1999-01-01
"343",2000,"Alagoas","June",0,2000-01-01
"344",2001,"Alagoas","June",2,2001-01-01
"345",2002,"Alagoas","June",0,2002-01-01
"346",2003,"Alagoas","June",0,2003-01-01
"347",2004,"Alagoas","June",0,2004-01-01
"348",2005,"Alagoas","June",0,2005-01-01
"349",2006,"Alagoas","June",0,2006-01-01
"350",2007,"Alagoas","June",0,2007-01-01
"351",2008,"Alagoas","June",0,2008-01-01
"352",2009,"Alagoas","June",0,2009-01-01
"353",2010,"Alagoas","June",0,2010-01-01
"354",2011,"Alagoas","June",2,2011-01-01
"355",2012,"Alagoas","June",4,2012-01-01
"356",2013,"Alagoas","June",1,2013-01-01
"357",2014,"Alagoas","June",2,2014-01-01
"358",2015,"Alagoas","June",2,2015-01-01
"359",2016,"Alagoas","June",5,2016-01-01
"360",2017,"Alagoas","June",2,2017-01-01
"361",1998,"Alagoas","July",0,1998-01-01
"362",1999,"Alagoas","July",0,1999-01-01
"363",2000,"Alagoas","July",0,2000-01-01
"364",2001,"Alagoas","July",0,2001-01-01
"365",2002,"Alagoas","July",5,2002-01-01
"366",2003,"Alagoas","July",0,2003-01-01
"367",2004,"Alagoas","July",0,2004-01-01
"368",2005,"Alagoas","July",0,2005-01-01
"369",2006,"Alagoas","July",0,2006-01-01
"370",2007,"Alagoas","July",0,2007-01-01
"371",2008,"Alagoas","July",0,2008-01-01
"372",2009,"Alagoas","July",0,2009-01-01
"373",2010,"Alagoas","July",2,2010-01-01
"374",2011,"Alagoas","July",0,2011-01-01
"375",2012,"Alagoas","July",0,2012-01-01
"376",2013,"Alagoas","July",0,2013-01-01
"377",2014,"Alagoas","July",1,2014-01-01
"378",2015,"Alagoas","July",0,2015-01-01
"379",2016,"Alagoas","July",3,2016-01-01
"380",2017,"Alagoas","July",0,2017-01-01
"381",1998,"Alagoas","August",1,1998-01-01
"382",1999,"Alagoas","August",3,1999-01-01
"383",2000,"Alagoas","August",4,2000-01-01
"384",2001,"Alagoas","August",1,2001-01-01
"385",2002,"Alagoas","August",3,2002-01-01
"386",2003,"Alagoas","August",2,2003-01-01
"387",2004,"Alagoas","August",2,2004-01-01
"388",2005,"Alagoas","August",2,2005-01-01
"389",2006,"Alagoas","August",1,2006-01-01
"390",2007,"Alagoas","August",3,2007-01-01
"391",2008,"Alagoas","August",1,2008-01-01
"392",2009,"Alagoas","August",0,2009-01-01
"393",2010,"Alagoas","August",1,2010-01-01
"394",2011,"Alagoas","August",4,2011-01-01
"395",2012,"Alagoas","August",0,2012-01-01
"396",2013,"Alagoas","August",0,2013-01-01
"397",2014,"Alagoas","August",3,2014-01-01
"398",2015,"Alagoas","August",3,2015-01-01
"399",2016,"Alagoas","August",5,2016-01-01
"400",2017,"Alagoas","August",1,2017-01-01
"401",1998,"Alagoas","September",14,1998-01-01
"402",1999,"Alagoas","September",3,1999-01-01
"403",2000,"Alagoas","September",22,2000-01-01
"404",2001,"Alagoas","September",5,2001-01-01
"405",2002,"Alagoas","September",14,2002-01-01
"406",2003,"Alagoas","September",8,2003-01-01
"407",2004,"Alagoas","September",5,2004-01-01
"408",2005,"Alagoas","September",7,2005-01-01
"409",2006,"Alagoas","September",4,2006-01-01
"410",2007,"Alagoas","September",2,2007-01-01
"411",2008,"Alagoas","September",9,2008-01-01
"412",2009,"Alagoas","September",13,2009-01-01
"413",2010,"Alagoas","September",5,2010-01-01
"414",2011,"Alagoas","September",5,2011-01-01
"415",2012,"Alagoas","September",6,2012-01-01
"416",2013,"Alagoas","September",4,2013-01-01
"417",2014,"Alagoas","September",11,2014-01-01
"418",2015,"Alagoas","September",7,2015-01-01
"419",2016,"Alagoas","September",18,2016-01-01
"420",2017,"Alagoas","September",4,2017-01-01
"421",1998,"Alagoas","October",20,1998-01-01
"422",1999,"Alagoas","October",4,1999-01-01
"423",2000,"Alagoas","October",13,2000-01-01
"424",2001,"Alagoas","October",15,2001-01-01
"425",2002,"Alagoas","October",30,2002-01-01
"426",2003,"Alagoas","October",10,2003-01-01
